Tax,gdppc,doing_business
21.6,31690.90625,12.4
21.6,33192.59298,13.1
21.7,33941.35595,12.6
20.6,34387.56917,11.7
20.6,35960.58362,14.1
,35503.18394,
,34599.24667,
,33663.06905,
,32925.14492,
,31910.13753,
,31519.92645,
,30835.1078,
,30085.9673,
,28761.27984,
,27745.22915,
,26690.13668,
,26393.99663,
,26465.26463,
,24845.4975,
,23951.5765,
,24366.44639,
,22873.3142,
,23300.82439,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
46.1,,1
46.1,32605.90633,1
46.1,31338.87521,5.7
46.5,30605.42052,6.7
46.5,29119.61661,6.9
45.6,28379.74612,7
45.7,28527.13873,8.1
45.7,28797.41796,8.1
45.4,28352.9494,9.3
46.4,27803.58716,9.2
47.7,29373.10923,9.6
47.7,28844.06719,10.6
48.2,27473.62712,8.9
48.7,25781.20471,9.5
,24233.59699,10.8
,23107.20388,10
,22297.22475,
,21892.48253,
,21193.90171,
,20269.69866,
,19962.96129,
,20009.83181,
,20107.85346,
,19270.69939,
,18130.89102,
,17624.68478,
,17632.09962,
,17739.9967,
,20023.13599,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
49,,6.7
48.9,45229.24529,7
48.9,44431.82284,6.8
48.8,43937.94713,7
48.8,43560.61924,8.9
49.1,42914.47611,5
45.9,42822.0994,5
45.6,42692.51976,4.8
47,40428.72103,5
43.9,38784.45248,4.9
49.4,40989.44311,5.8
49,40473.52745,5.8
47.4,39143.16624,5.3
47.7,37703.93294,4.9
,37418.0925,6.1
,36977.34601,6.1
,37262.35129,
,37325.05255,
,36764.56293,
,35755.29931,
,35081.30421,
,34405.51921,
,33830.30566,
,33653.12964,
,33175.70858,
,32492.51853,
,33022.57555,
,32646.56184,
,31287.06981,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
23.8,,0.2
23.8,46682.51472,0.2
24.4,45991.22478,0.2
23.9,45458.69715,0.2
25.4,45057.07417,0.2
25.6,44564.45216,0.2
26.3,44336.81246,0.2
25.7,44403.39415,0
27.5,43998.43667,0
27.6,43382.62546,0
28.5,45865.79596,0
31.3,46373.51666,0
30.8,46159.91374,0
32.6,44567.93131,0
,43670.4453,0
,42645.58313,0
,42595.58722,
,42533.53926,
,42337.71437,
,40945.27924,
,39904.59561,
,39180.68656,
,38101.40552,
,37237.72328,
,36332.21734,
,34609.58309,
,34721.38178,
,34167.71928,
,33785.65014,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
47,,4
46.9,34272.36038,4.1
48.7,33320.37272,4.3
49.8,32291.1552,4.4
57.9,31195.40524,4.5
56.9,30678.9173,5
37.6,31109.18746,5
37.6,32068.27093,4.7
55.3,32507.09397,15.1
55.8,32652.51218,15
58.8,34163.94639,14.9
60.7,34329.647,15.1
60.5,33700.85211,16.2
60.4,32901.98773,16.5
,32261.44449,17
,31815.42134,16.8
,31395.27602,
,30950.57323,
,29967.13145,
,28589.30859,
,27473.30696,
,26448.37866,
,25614.3895,
,25051.23368,
,24486.82293,
,24030.97766,
,24407.67554,
,24301.69219,
,23758.7281,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
48.7,,1.1
48.7,29481.25181,1.2
48.7,28109.81704,1.2
49.4,27549.58137,1.3
49.4,27113.68592,1.4
49.7,26282.90884,1.5
66.8,25691.99964,1.6
57.8,24543.06747,1.8
48.8,22740.972,1.9
48.4,22187.9264,1.7
48.1,25968.97281,1.7
48.7,27383.46956,2
49.4,25298.64605,5.1
50.6,22807.18275,6.2
,20733.53808,7.5
,19389.44231,8
,17937.83198,
,16803.51868,
,15703.02747,
,14270.99834,
,14436.72895,
,13733.28481,
,12144.59509,
,11361.84624,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
37.3,,0.8
38.4,40585.72103,0.8
38.1,39659.16604,0.9
37.9,38941.7636,0.9
40.1,39017.53721,0.9
39.9,39428.31206,0.9
40.6,39912.94136,0.9
39.1,40683.52758,1
40.8,39848.1345,1
47.7,38867.79945,0.9
47.8,42574.64114,1
47.8,42467.261,1
47.7,40546.08073,1.1
49.5,39115.76479,1.2
,38188.25109,1.2
,36852.44392,1.1
,36218.24016,
,35706.15333,
,34887.1788,
,33094.83843,
,31760.2768,
,30205.02044,
,28512.4344,
,27596.41289,
,26583.53333,
,25686.51002,
,26002.07995,
,27047.8399,
,28905.57032,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
60.4,,0.7
62.6,38605.6709,0.7
64.1,38062.63973,0.7
64.9,37766.37411,0.8
71.3,37523.72758,0.9
69.8,37350.27827,0.9
69.7,37327.9444,0.9
